tank_name,Type,timestamp,Number,Class,tank_name2,fuel_type,qty,Amount,balance,tank_id,station_id
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07588,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",5829612.86,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07589,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.0,"2,533.90",5832146.76,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07590,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,24.86,"6,299.27",5838446.03,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07591,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,10.0,"2,533.90",5840979.93,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07592,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,5.0,"1,266.95",5842246.87,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-07,CASH/INV/2425/02139,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1571.419,"398,181.91",6240428.78,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-07,CASH/INV/2425/02152,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,248.0,"62,840.72",6303269.5,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-07,CASH/INV/2425/02153,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,803.237,"203,532.29",6506801.79,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07575,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",6508828.91,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07578,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,277.157,"70,228.81",6579057.72,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07579,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,51.906,"13,152.54",6592210.26,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07580,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,28.0,"7,094.92",6599305.18,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07581,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",6601332.3,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07582,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,6.0,"1,520.34",6602852.64,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07583,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",6603866.2,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07619,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,567.658,"143,838.98",6747705.18,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07620,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.348,"1,101.70",6748806.87,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07621,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.0,"2,027.12",6750833.99,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07622,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,32.81,"8,313.72",6759147.71,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07623,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.61,"1,928.30",6761076.01,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-08,CR/INV/2526/07624,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,8.43,"2,136.08",6763212.09,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-08,CASH/INV/2425/02148,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,95.0,"24,072.05",6787284.14,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-08,CASH/INV/2425/02150,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,739.937,"187,492.56",6974776.7,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-08,CASH/INV/2425/02164,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1467.144,"371,759.55",7346536.25,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-08,CASH/INV/2425/02170,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,50.0,"12,669.50",7359205.75,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07603,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,470.976,"119,340.68",7478546.43,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07604,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,15.0,"3,800.85",7482347.27,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07605,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",7483360.83,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07606,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",7484374.39,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07607,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",7485387.95,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07608,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,4.0,"1,013.56",7486401.51,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07609,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,7486908.29,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07610,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,11.0,"2,787.29",7489695.58,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07611,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.0,"7,601.70",7497297.27,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07659,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,276.488,"70,059.32",7567356.59,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07660,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,66.221,"16,779.66",7584136.25,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07661,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.41,"1,877.62",7586013.87,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-09,CR/INV/2526/07662,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,35.0,"8,868.64",7594882.52,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-09,CASH/INV/2425/02154,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,42.0,"10,642.38",7605524.9,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-09,CASH/INV/2425/02161,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,715.024,"181,179.87",7786704.77,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-09,CASH/INV/2425/02179,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,370.0,"93,754.30",7880459.07,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-09,CASH/INV/2425/02182,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,1559.881,"395,258.31",8275717.37,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-10,CR/INV/2526/07677,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,632.675,"160,313.56",8436030.93,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-10,CR/INV/2526/07678,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,52.682,"13,349.15",8449380.09,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-10,CR/INV/2526/07679,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,43.0,"10,895.76",8460275.85,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-10,CR/INV/2526/07680,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,7.0,"1,773.73",8462049.58,Petrol Tank 01,ST001
